artist,track,url
"U2","Sunday Bloody Sunday - Remastered 2008","https://www.youtube.com/embed/d8FYJ9qvegI?autoplay=1&start=54&end=84&controls=0"
"Wejoell","Spit in My Face! (Hardstyle Remix)","https://www.youtube.com/embed/UFxHHCe3CaE?autoplay=1&start=46&end=76&controls=0"
"prodByLone","Stay High","https://www.youtube.com/embed/ZCgvvFR77Rk?autoplay=1&start=31&end=61&controls=0"
"a-ha","Take on Me","https://www.youtube.com/embed/MIgK3zOk0zg?autoplay=1&start=49&end=79&controls=0"
"Metro Boomin","All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","https://www.youtube.com/embed/BfD2ezwFubI?autoplay=1&start=54&end=84&controls=0"
"d4vd","Notes From A Wrist","https://www.youtube.com/embed/qx7u-anbsLg?autoplay=1&start=50&end=80&controls=0"
"d4vd","Atomic Land","https://www.youtube.com/embed/lUzyYt4MalY?autoplay=1&start=49&end=79&controls=0"
"Unicorn On Ketamine","Tarzan","https://www.youtube.com/embed/0T2z9tXnpFo?autoplay=1&start=59&end=89&controls=0"
"THÉA","Ennui","https://www.youtube.com/embed/IWRxhRyzEWo?autoplay=1&start=34&end=64&controls=0"
"Bob Marley & The Wailers","Could You Be Loved","https://www.youtube.com/embed/uf9DjrIEEwc?autoplay=1&start=54&end=84&controls=0"
"TOTO","Africa","https://www.youtube.com/embed/Kb7lAMjFuA0?autoplay=1&start=48&end=78&controls=0"
"THÉA","JUSTE AMIS","https://www.youtube.com/embed/T17OozgVt5s?autoplay=1&start=39&end=69&controls=0"
"Yosuf","Tren","https://www.youtube.com/embed/1brWczW9xRg?autoplay=1&start=57&end=87&controls=0"
"Chase Atlantic","Right Here","https://www.youtube.com/embed/Z4kzes_3FJY?autoplay=1&start=37&end=67&controls=0"
"d4vd","There Goes My Baby","https://www.youtube.com/embed/CEA6GCk87Ko?autoplay=1&start=56&end=86&controls=0"
"Ashlee","Alone With You","https://www.youtube.com/embed/1OhQbqRwdKo?autoplay=1&start=50&end=80&controls=0"
"XXXTENTACION","the remedy for a broken heart (why am I so in love)","https://www.youtube.com/embed/ndCI8DIM86w?autoplay=1&start=35&end=65&controls=0"
"Lolo Zouaï","Desert Rose","https://www.youtube.com/embed/1w1vMwxrEHg?autoplay=1&start=55&end=85&controls=0"
"d4vd","Sleep Well","https://www.youtube.com/embed/iTWYa0t5COk?autoplay=1&start=55&end=85&controls=0"
"QUIN","Mushroom Chocolate (with 6LACK)","https://www.youtube.com/embed/vimNtiduRqE?autoplay=1&start=51&end=81&controls=0"
"Luther","Finesse","https://www.youtube.com/embed/Vcwhe0pY4Bg?autoplay=1&start=55&end=85&controls=0"
"Fréro Delavega","Le chant des sirènes","https://www.youtube.com/embed/Mqb8weZrKN4?autoplay=1&start=50&end=80&controls=0"
"Carly Rae Jepsen","Call Me Maybe","https://www.youtube.com/embed/eHx--ZtG_Ds?autoplay=1&start=45&end=75&controls=0"
"Sub Zero Project","200 Beathoven","https://www.youtube.com/embed/vgua7Of7uyY?autoplay=1&start=30&end=60&controls=0"
"The Weeknd","The Hills","https://www.youtube.com/embed/G5XpJP7f_SE?autoplay=1&start=34&end=64&controls=0"
"Britney Spears","I Wanna Go","https://www.youtube.com/embed/0Ogv-98HSxA?autoplay=1&start=38&end=68&controls=0"
"Conan Gray","Never Ending Song","https://www.youtube.com/embed/sgci2K2PTpM?autoplay=1&start=58&end=88&controls=0"
"ANGUISH","We Fell Apart - Slowed","https://www.youtube.com/embed/8kS0doS_M5o?autoplay=1&start=39&end=69&controls=0"
"d4vd","It’s That Time Again","https://www.youtube.com/embed/h_htPQtTbOc?autoplay=1&start=33&end=63&controls=0"
"Evanescence","Bring Me To Life","https://www.youtube.com/embed/Yhwal9i1uyw?autoplay=1&start=40&end=70&controls=0"
"Saymooon","VOICES IN MY HEAD","https://www.youtube.com/embed/QqJvqMeaDtU?autoplay=1&start=39&end=69&controls=0"
"d4vd","What Are You Waiting For","https://www.youtube.com/embed/SlaLfVeFJlM?autoplay=1&start=36&end=66&controls=0"
"crypvolk","Tourner Dans Le Vide - Hardstyle","https://www.youtube.com/embed/2B0mMBTwQqA?autoplay=1&start=40&end=70&controls=0"
"Mqx","Aria Math Hardstyle","https://www.youtube.com/embed/ui1DpWyYeiA?autoplay=1&start=48&end=78&controls=0"
"Bryant Barnes","Give Me A Sign","https://www.youtube.com/embed/Srk8kGK16oA?autoplay=1&start=44&end=74&controls=0"
"Conan Gray","Heather","https://www.youtube.com/embed/GPUg7n8-M6o?autoplay=1&start=50&end=80&controls=0"
"d4vd","Crashing (with Kali Uchis)","https://www.youtube.com/embed/k855HXJ8-tk?autoplay=1&start=47&end=77&controls=0"
"d4vd","One More Dance","https://www.youtube.com/embed/DPBuJWUNQEM?autoplay=1&start=50&end=80&controls=0"
"THÉA","CAVALE! CAVALE!","https://www.youtube.com/embed/72z3T4mLNuU?autoplay=1&start=38&end=68&controls=0"
"H.E.R.","Lights On","https://www.youtube.com/embed/qLsIl566m7s?autoplay=1&start=46&end=76&controls=0"
"Limi","The Best I Ever Had","https://www.youtube.com/embed/BqEnB4PUpSM?autoplay=1&start=44&end=74&controls=0"
"Marcus King","Sucker (from the series Arcane League of Legends)","https://www.youtube.com/embed/8sekyV_o2pM?autoplay=1&start=55&end=85&controls=0"
"Luther","Chrysant3mes","https://www.youtube.com/embed/_l-KDBq4-g8?autoplay=1&start=50&end=80&controls=0"
"Conan Gray","Wish You Were Sober","https://www.youtube.com/embed/RHyE_erqAe0?autoplay=1&start=50&end=80&controls=0"
"Indochine","La vie est belle","https://www.youtube.com/embed/XhFzKhTFY3I?autoplay=1&start=38&end=68&controls=0"
